id;picture;picture_content_type;description;cost;procedure_id;doctor_id
1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;12549.18;1;1
2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;3432.22;2;2
3;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;25105.63;3;3
4;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;6837.75;4;4
5;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;21383.56;5;5
6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;18238.76;6;6
7;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;21364.47;7;7
8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;26970.52;8;8
9;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;11920.34;9;9
10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;15987.95;10;10
