id;title;description;rate;timestamp
1;mockingly toward;../fake-data/blob/hipster.txt;3;2024-02-13T07:54:18
2;likewise sympathetic;../fake-data/blob/hipster.txt;3;2024-02-12T20:20:55
3;voluntarily dogwood wherever;../fake-data/blob/hipster.txt;1;2024-02-13T18:32:23
4;hmph passion nutritious;../fake-data/blob/hipster.txt;5;2024-02-13T15:58:44
5;even;../fake-data/blob/hipster.txt;3;2024-02-13T17:01:30
6;fantasise dam;../fake-data/blob/hipster.txt;5;2024-02-13T06:53:53
7;escalate;../fake-data/blob/hipster.txt;3;2024-02-13T02:41:06
8;likewise infinite;../fake-data/blob/hipster.txt;1;2024-02-13T20:03:41
9;familiar beyond;../fake-data/blob/hipster.txt;3;2024-02-13T09:53:32
10;from;../fake-data/blob/hipster.txt;2;2024-02-13T08:05:42
